strategy,Annualized Return,Annualized Vol,Sharpe,Cumulative Return,Avg Turnover,Avg Trades/Day,Trade Rate,Avg Predicted P(Win)
P(Win) Threshold,-0.005347033263891854,0.0202160793121596,-0.2644940782694551,-0.00841884490679734,0.11130559301643941,1.6634146341463414,0.18292682926829268,0.5637473798254587
P(Win) Threshold Top-1,0.007467638251165143,0.03392625770773339,0.22011382202826685,0.011801231202734908,0.13170731707317074,0.18292682926829268,0.18292682926829268,0.5758354133089613
P(Win) Threshold Top-3,0.001636363909253813,0.022991703940940324,0.07117192851200607,0.0025816377604535035,0.11463414634146342,0.4902439024390244,0.18292682926829268,0.571619915951635
P(Win) Threshold Top-5,-0.0006430536518486907,0.02257496768098844,-0.028485252379352895,-0.0010138580244850592,0.11540650406504066,0.7268292682926829,0.18292682926829268,0.5695585018070305
Equal-weight,0.004508683090062249,0.04187728653686264,0.10766416506221012,0.007119087476943564,0.0012195121951219512,24.0,1.0,
