Date,pnl,gross_return,turnover,trade_count,avg_predicted_ev
2022-09-21 00:00:00+00:00,-0.004782705279610723,-0.004657705279610723,0.5,13,0.0013740575241047161
2022-09-22 00:00:00+00:00,0.00113604566412055,0.00124854566412055,0.45,20,0.0017011979085350053
2022-09-23 00:00:00+00:00,0.006051235001602079,0.006263735001602079,0.8500000000000001,5,0.0015115031263848787
2022-09-26 00:00:00+00:00,-0.000125,0.0,0.5,0,
2022-09-27 00:00:00+00:00,-0.0037525746823169077,-0.0036275746823169076,0.5,13,0.00201963324232934
2022-09-28 00:00:00+00:00,0.003795890183632663,0.0038535824913249707,0.23076923076923078,10,0.0017711107951451962
2022-09-29 00:00:00+00:00,0.015544243676014502,0.015744243676014503,0.8,6,0.001534060590264538
2022-09-30 00:00:00+00:00,0.0003996526790925176,0.0005246526790925176,0.5,3,0.0011715961378889284
2022-10-03 00:00:00+00:00,0.008073405626148032,0.008283931941937505,0.8421052631578947,19,0.0018934522984665081
2022-10-04 00:00:00+00:00,0.005652103399171395,0.005823156030750343,0.6842105263157894,7,0.0011757888395731101
2022-10-19 00:00:00+00:00,-0.00035247873453757154,-0.00017390730596614297,0.7142857142857142,7,0.001540836801244082
2022-10-20 00:00:00+00:00,0.0011565181567457432,0.0011877681567457432,0.12499999999999997,8,0.0014337652686233656
2022-10-21 00:00:00+00:00,-0.0048075043807415,-0.0046825043807415,0.5,4,0.001399220004378877
2022-10-24 00:00:00+00:00,0.005815733858451175,0.005940733858451175,0.5,8,0.002254814093413653
2022-10-25 00:00:00+00:00,0.0031860801838905477,0.0033765563743667383,0.7619047619047619,21,0.0033809289957988905
2022-10-26 00:00:00+00:00,-0.004955936109502676,-0.0047297456333122,0.9047619047619047,3,0.0008114111661874475
2022-10-27 00:00:00+00:00,-0.004399433294717217,-0.004232766628050551,0.6666666666666666,9,0.0016963373569854935
2022-10-28 00:00:00+00:00,0.003099631731764933,0.0032662983984315997,0.6666666666666666,3,0.0018709290987279801
2022-10-31 00:00:00+00:00,-0.0015976268476217152,-0.0013860883860832536,0.8461538461538461,13,0.0015235503516065464
2022-11-01 00:00:00+00:00,-0.003357309637125192,-0.0031650019448175,0.7692307692307693,4,0.002579735004322589
2022-11-16 00:00:00+00:00,0.0030623480389611202,0.00328734803896112,0.9,10,0.0013240353733198515
2022-11-17 00:00:00+00:00,-0.00026270239097952,-0.00014603572431285335,0.4666666666666667,15,0.001750363211460126
2022-11-18 00:00:00+00:00,0.0008972733057158665,0.0010306066390492,0.5333333333333333,8,0.0018122750526911675
2022-11-21 00:00:00+00:00,-0.0003428014593599999,-0.00012405145935999993,0.875,2,0.00231550006675605
2022-11-22 00:00:00+00:00,0.001452186626008859,0.0016874807436559178,0.9411764705882353,17,0.0028021551164017014
2022-11-23 00:00:00+00:00,0.0040188986524434395,0.004195369240678734,0.7058823529411764,6,0.0011349169643384796
2022-11-24 00:00:00+00:00,-0.0005853932858570167,-0.00046039328585701663,0.5,6,0.002444454121239989
2022-11-25 00:00:00+00:00,0.0017485013992087667,0.0019568347325421,0.8333333333333334,5,0.001746207532529937
2022-11-28 00:00:00+00:00,-0.005207374580062487,-0.0050042495800624864,0.8125,16,0.0020776123727927875
2022-11-29 00:00:00+00:00,0.004239212934238567,0.004270462934238567,0.125,15,0.002251524586841442
2022-12-14 00:00:00+00:00,0.001549333003110285,0.0016326663364436183,0.33333333333333337,11,0.0013729565371848789
2022-12-15 00:00:00+00:00,-0.006230320576264635,-0.006116684212628272,0.4545454545454546,10,0.0006545822069699564
2022-12-16 00:00:00+00:00,-0.0012316358660634055,-0.0010927469771745166,0.5555555555555556,18,0.0031719716115578096
2022-12-19 00:00:00+00:00,-0.0004658354494344472,-0.000243613227212225,0.8888888888888888,4,0.0003254537373226761
2022-12-20 00:00:00+00:00,-0.008156331954566151,-0.007947998621232818,0.8333333333333333,18,0.002555669402221853
2022-12-21 00:00:00+00:00,-0.001950831235234372,-0.0017286090130121498,0.8888888888888888,2,0.0010338067398706205
2022-12-22 00:00:00+00:00,-0.0031562707650169154,-0.002944732303478454,0.8461538461538461,13,0.003725830882492442
2022-12-23 00:00:00+00:00,0.0037285228818442697,0.003747753651075039,0.07692307692307693,13,0.0024798319028269396
2022-12-26 00:00:00+00:00,0.0005581374214430854,0.0006295659928716569,0.28571428571428575,14,0.002965862722843607
2022-12-27 00:00:00+00:00,-0.0015331213145840204,-0.0014795498860125918,0.2142857142857143,11,0.0028462310790770395
2023-01-11 00:00:00+00:00,0.0066363640961337065,0.0068636368234064335,0.9090909090909091,3,0.0011988345970451175
2023-01-12 00:00:00+00:00,-0.0041867134829593824,-0.003955944252190152,0.9230769230769231,13,0.0008115126833027551
2023-01-13 00:00:00+00:00,-0.0014999213529867425,-0.00130761366067905,0.7692307692307693,4,0.001514767058656594
2023-01-16 00:00:00+00:00,0.0004994289158782399,0.0005994289158782399,0.4,5,0.001423185739621741
2023-01-17 00:00:00+00:00,0.002599480091293075,0.002699480091293075,0.4,4,0.0006820970320886424
2023-01-18 00:00:00+00:00,-0.0013860943758857562,-0.0011985943758857562,0.75,16,0.0018236434936322406
2023-01-19 00:00:00+00:00,-0.0014936114834431266,-0.0014467364834431266,0.1875,15,0.002070993838261313
2023-01-20 00:00:00+00:00,0.008726669885357093,0.008776669885357092,0.19999999999999998,14,0.0023992174091527654
2023-01-23 00:00:00+00:00,0.00491288266502907,0.005020025522171927,0.4285714285714286,11,0.0008380519295765799
2023-01-24 00:00:00+00:00,0.0012601740046466999,0.0013510830955557908,0.36363636363636365,11,0.0009536557257935112
2023-02-08 00:00:00+00:00,-0.0019336250443686414,-0.0018199886807322777,0.45454545454545453,9,0.0013494435731368332
2023-02-09 00:00:00+00:00,0.0011108944880462667,0.0011942278213796,0.33333333333333337,8,0.0014960540153968148
2023-02-10 00:00:00+00:00,-0.0024789126193836553,-0.0024233570638280996,0.22222222222222224,9,0.001725345097200131
2023-02-13 00:00:00+00:00,0.0048701987768493896,0.005017926049576662,0.5909090909090908,22,0.001977136028374399
2023-02-14 00:00:00+00:00,0.0016650890133591651,0.0018582708315409834,0.7727272727272727,6,0.0007398444099886026
2023-02-15 00:00:00+00:00,-0.0040441708366745575,-0.0038983375033412246,0.5833333333333333,12,0.0012395786856504274
2023-02-16 00:00:00+00:00,-0.0024113822439519837,-0.0023488822439519837,0.25,12,0.002011349126626851
2023-02-17 00:00:00+00:00,0.0012767353194493394,0.0013963005368406436,0.47826086956521735,23,0.002375166589883797
2023-02-20 00:00:00+00:00,0.0022130537541395034,0.0023543581019655905,0.5652173913043479,10,0.001103239270354253
2023-02-21 00:00:00+00:00,-0.0002937608156161999,-0.00016876081561619993,0.5,7,0.0008378484746527493
2023-03-08 00:00:00+00:00,0.00044106950175920557,0.0006077361684258722,0.6666666666666666,18,0.0015323677548334616
2023-03-09 00:00:00+00:00,-0.0033214886093897444,-0.0031964886093897443,0.5,9,0.002091119044565476
2023-03-10 00:00:00+00:00,-0.010648846637285091,-0.010482179970618424,0.6666666666666666,4,0.0017960217913978104
2023-03-13 00:00:00+00:00,-0.00620603772474505,-0.006122704391411716,0.33333333333333337,6,0.0019979225283866917
2023-03-14 00:00:00+00:00,0.004772035921024077,0.004925882074870231,0.6153846153846154,13,0.0021780244523885834
2023-03-15 00:00:00+00:00,-0.005384245869455549,-0.0053073227925324725,0.3076923076923077,11,0.0019348501658739555
2023-03-16 00:00:00+00:00,0.0024034544177147423,0.002508717575609479,0.4210526315789474,19,0.0031478914937111743
2023-03-17 00:00:00+00:00,-0.0022349677169902432,-0.0021033887696218223,0.5263157894736842,9,0.002088879305281478
2023-03-20 00:00:00+00:00,-0.001915258717103209,-0.0018016223534668453,0.45454545454545453,11,0.002311953403929048
2023-03-21 00:00:00+00:00,0.004283875937654316,0.004346375937654316,0.25,12,0.0020439157031575876
2023-04-05 00:00:00+00:00,-0.0023712355404202166,-0.00220456887375355,0.6666666666666666,6,0.0005927192147355641
2023-04-06 00:00:00+00:00,-0.00014915705575935232,2.9414372812076237e-05,0.7142857142857142,21,0.0018801346086816642
2023-04-07 00:00:00+00:00,0.0008492133820546731,0.0009206419534832445,0.2857142857142857,17,0.0010814646963748353
2023-04-10 00:00:00+00:00,0.0022319490895755635,0.00243783144251674,0.8235294117647058,5,0.0012012149685317623
2023-04-11 00:00:00+00:00,-0.0026541305107682664,-0.0025541305107682666,0.39999999999999997,3,0.0006748693683336976
2023-04-12 00:00:00+00:00,0.0012188787965960398,0.00141887879659604,0.8,5,0.000582060670703329
2023-04-13 00:00:00+00:00,-0.000125,0.0,0.5,0,
2023-04-14 00:00:00+00:00,-0.0031986212532899372,-0.003073621253289937,0.5,8,0.0007618085774724093
2023-04-17 00:00:00+00:00,0.0015050974938256264,0.0016613474938256263,0.625,7,0.0008524311937590786
2023-04-18 00:00:00+00:00,0.002094166936609056,0.002244166936609056,0.6,15,0.0010859897576552808
2023-05-03 00:00:00+00:00,0.0036549618888140002,0.0038882952221473335,0.9333333333333333,3,0.0005613000205473728
2023-05-04 00:00:00+00:00,-0.0013521505254620169,-0.0011854838587953501,0.6666666666666666,6,0.0007801120989159674
2023-05-05 00:00:00+00:00,0.005836238859005853,0.0060274153295940885,0.7647058823529411,17,0.0016321270599991122
2023-05-08 00:00:00+00:00,-0.0011074890871146388,-0.0010519335315590831,0.22222222222222224,18,0.001232938679308559
2023-05-09 00:00:00+00:00,-0.0005703668500579717,-0.00048703351672463834,0.33333333333333337,13,0.0020206517516535797
2023-05-10 00:00:00+00:00,-0.002020651634074916,-0.0019629593263826082,0.23076923076923073,12,0.0020622994054207778
2023-05-11 00:00:00+00:00,0.0004231955073400033,0.00046486217400667,0.1666666666666667,10,0.0018093931001137258
2023-05-12 00:00:00+00:00,0.0019728724745160693,0.002030564782208377,0.23076923076923078,13,0.0014115218368743608
2023-05-15 00:00:00+00:00,0.0026581111091093196,0.0027581111091093194,0.4,20,0.002034390410659347
2023-05-16 00:00:00+00:00,-0.0013336076126304625,-0.0012711076126304625,0.25,16,0.0012595981595336398
2023-05-31 00:00:00+00:00,-0.0024995865039813,-0.0023120865039813,0.75,9,0.0009192861045621956
2023-06-01 00:00:00+00:00,0.0017180751573944754,0.0018430751573944753,0.5,12,0.0016024004956356468
2023-06-02 00:00:00+00:00,0.008868090309008484,0.008993090309008484,0.5,6,0.002387449855774801
2023-06-05 00:00:00+00:00,-0.0020166197838063426,-0.0018737626409491997,0.5714285714285714,14,0.0012551507891865206
2023-06-06 00:00:00+00:00,-0.0013922200980960144,-0.0012315058123817287,0.6428571428571428,7,0.0006568952716313881
2023-06-07 00:00:00+00:00,0.0024948277431360855,0.0026376848859932284,0.5714285714285714,7,0.0024334421766960593
2023-06-08 00:00:00+00:00,-0.0004000242766973802,-0.00026669094336404686,0.5333333333333333,15,0.0015002133498993073
2023-06-09 00:00:00+00:00,-0.000125,0.0,0.5,0,
2023-06-12 00:00:00+00:00,0.0008490537015577001,0.0009740537015577001,0.5,9,0.0026007385693752735
2023-06-13 00:00:00+00:00,0.0019697016272335415,0.0020947016272335416,0.5,12,0.001961501521988582
2023-06-28 00:00:00+00:00,-0.005502214500812337,-0.0053574776587070735,0.5789473684210527,19,0.0016591807657274794
2023-06-29 00:00:00+00:00,0.0006074364206570537,0.0006732258943412643,0.2631578947368421,14,0.0009724242506374694
2023-06-30 00:00:00+00:00,0.002908792960832247,0.0029745824345164575,0.2631578947368421,19,0.0023793525760471184
2023-07-03 00:00:00+00:00,0.00028749828936482254,0.0004190772367332436,0.5263157894736843,10,0.0015354781176386493
2023-07-04 00:00:00+00:00,0.00038608540130472864,0.0004932282584475858,0.4285714285714286,14,0.0013421894334281043
2023-07-05 00:00:00+00:00,-0.0005219143814689856,-0.0004326286671832713,0.3571428571428571,14,0.0017032652174543792
