strategy,run_name,fit_days,calibration_days,test_days,step_days,horizon,transaction_loss_pct,trading_days_per_year,p_win_threshold,holdout_days,live_model,live_decision_mode,Annualized Return,Annualized Vol,Sharpe,Cumulative Return,plot_path,output_dir
lgbm_deep_returns_momentum Threshold Top-1,fit480_cal120_test30_step30_h5_cost0.025_tdpy260_pwin0.5_holdout60_livelgbm_deep_returns_momentum_modethreshold_top1,480,120,30,30,5,0.025,260,0.5,60,lgbm_deep_returns_momentum,threshold_top1,0.02165890024240813,0.0699312669313896,0.30971697200421,0.004957094935515105,experiment_results\fit480_cal120_test30_step30_h5_cost0.025_tdpy260_pwin0.5_holdout60_livelgbm_deep_returns_momentum_modethreshold_top1\pnl_curves.png,C:\Users\tbill\Documents\ml_engine\experiment_results\fit480_cal120_test30_step30_h5_cost0.025_tdpy260_pwin0.5_holdout60_livelgbm_deep_returns_momentum_modethreshold_top1
lgbm_deep_returns_momentum Threshold Top-3,fit480_cal120_test30_step30_h5_cost0.025_tdpy260_pwin0.5_holdout60_livelgbm_deep_returns_momentum_modethreshold_top1,480,120,30,30,5,0.025,260,0.5,60,lgbm_deep_returns_momentum,threshold_top1,0.00909271030246761,0.042427689767213055,0.2143107567806863,0.002091018637315978,experiment_results\fit480_cal120_test30_step30_h5_cost0.025_tdpy260_pwin0.5_holdout60_livelgbm_deep_returns_momentum_modethreshold_top1\pnl_curves.png,C:\Users\tbill\Documents\ml_engine\experiment_results\fit480_cal120_test30_step30_h5_cost0.025_tdpy260_pwin0.5_holdout60_livelgbm_deep_returns_momentum_modethreshold_top1
lgbm_deep_returns_momentum Top-1,fit480_cal120_test30_step30_h5_cost0.025_tdpy260_pwin0.5_holdout60_livelgbm_deep_returns_momentum_modethreshold_top1,480,120,30,30,5,0.025,260,0.5,60,lgbm_deep_returns_momentum,threshold_top1,0.02165890024240813,0.0699312669313896,0.30971697200421,0.004957094935515105,experiment_results\fit480_cal120_test30_step30_h5_cost0.025_tdpy260_pwin0.5_holdout60_livelgbm_deep_returns_momentum_modethreshold_top1\pnl_curves.png,C:\Users\tbill\Documents\ml_engine\experiment_results\fit480_cal120_test30_step30_h5_cost0.025_tdpy260_pwin0.5_holdout60_livelgbm_deep_returns_momentum_modethreshold_top1
lgbm_deep_returns_momentum Top-3,fit480_cal120_test30_step30_h5_cost0.025_tdpy260_pwin0.5_holdout60_livelgbm_deep_returns_momentum_modethreshold_top1,480,120,30,30,5,0.025,260,0.5,60,lgbm_deep_returns_momentum,threshold_top1,0.005835497455011884,0.04247996060346633,0.13737059479607222,0.0013436411603089393,experiment_results\fit480_cal120_test30_step30_h5_cost0.025_tdpy260_pwin0.5_holdout60_livelgbm_deep_returns_momentum_modethreshold_top1\pnl_curves.png,C:\Users\tbill\Documents\ml_engine\experiment_results\fit480_cal120_test30_step30_h5_cost0.025_tdpy260_pwin0.5_holdout60_livelgbm_deep_returns_momentum_modethreshold_top1
lgbm_deep_returns_momentum Top-Decile,fit480_cal120_test30_step30_h5_cost0.025_tdpy260_pwin0.5_holdout60_livelgbm_deep_returns_momentum_modethreshold_top1,480,120,30,30,5,0.025,260,0.5,60,lgbm_deep_returns_momentum,threshold_top1,0.005835497455011884,0.04247996060346633,0.13737059479607222,0.0013436411603089393,experiment_results\fit480_cal120_test30_step30_h5_cost0.025_tdpy260_pwin0.5_holdout60_livelgbm_deep_returns_momentum_modethreshold_top1\pnl_curves.png,C:\Users\tbill\Documents\ml_engine\experiment_results\fit480_cal120_test30_step30_h5_cost0.025_tdpy260_pwin0.5_holdout60_livelgbm_deep_returns_momentum_modethreshold_top1
lgbm_deep_volatility Threshold,fit480_cal120_test30_step30_h5_cost0.025_tdpy260_pwin0.5_holdout60_livelgbm_deep_volatility_modethreshold_top1,480,120,30,30,5,0.025,260,0.5,60,lgbm_deep_volatility,threshold_top1,0.012457607969106776,0.027789015532836372,0.44829252603016745,0.0028611585040085874,experiment_results\fit480_cal120_test30_step30_h5_cost0.025_tdpy260_pwin0.5_holdout60_livelgbm_deep_volatility_modethreshold_top1\pnl_curves.png,C:\Users\tbill\Documents\ml_engine\experiment_results\fit480_cal120_test30_step30_h5_cost0.025_tdpy260_pwin0.5_holdout60_livelgbm_deep_volatility_modethreshold_top1
lgbm_deep_volatility Threshold Top-1,fit480_cal120_test30_step30_h5_cost0.025_tdpy260_pwin0.5_holdout60_livelgbm_deep_volatility_modethreshold_top1,480,120,30,30,5,0.025,260,0.5,60,lgbm_deep_volatility,threshold_top1,-0.12879578046191864,0.07066315735812986,-1.822672312944711,-0.03131732682457411,experiment_results\fit480_cal120_test30_step30_h5_cost0.025_tdpy260_pwin0.5_holdout60_livelgbm_deep_volatility_modethreshold_top1\pnl_curves.png,C:\Users\tbill\Documents\ml_engine\experiment_results\fit480_cal120_test30_step30_h5_cost0.025_tdpy260_pwin0.5_holdout60_livelgbm_deep_volatility_modethreshold_top1
lgbm_deep_volatility Threshold Top-3,fit480_cal120_test30_step30_h5_cost0.025_tdpy260_pwin0.5_holdout60_livelgbm_deep_volatility_modethreshold_top1,480,120,30,30,5,0.025,260,0.5,60,lgbm_deep_volatility,threshold_top1,-0.041079752479669884,0.049515414951592666,-0.8296356300321897,-0.009633460279912076,experiment_results\fit480_cal120_test30_step30_h5_cost0.025_tdpy260_pwin0.5_holdout60_livelgbm_deep_volatility_modethreshold_top1\pnl_curves.png,C:\Users\tbill\Documents\ml_engine\experiment_results\fit480_cal120_test30_step30_h5_cost0.025_tdpy260_pwin0.5_holdout60_livelgbm_deep_volatility_modethreshold_top1
lgbm_deep_volatility Top-1,fit480_cal120_test30_step30_h5_cost0.025_tdpy260_pwin0.5_holdout60_livelgbm_deep_volatility_modethreshold_top1,480,120,30,30,5,0.025,260,0.5,60,lgbm_deep_volatility,threshold_top1,-0.10465987931601539,0.07689348058942101,-1.3611021183298402,-0.025189231051778616,experiment_results\fit480_cal120_test30_step30_h5_cost0.025_tdpy260_pwin0.5_holdout60_livelgbm_deep_volatility_modethreshold_top1\pnl_curves.png,C:\Users\tbill\Documents\ml_engine\experiment_results\fit480_cal120_test30_step30_h5_cost0.025_tdpy260_pwin0.5_holdout60_livelgbm_deep_volatility_modethreshold_top1
lgbm_deep_volatility Top-3,fit480_cal120_test30_step30_h5_cost0.025_tdpy260_pwin0.5_holdout60_livelgbm_deep_volatility_modethreshold_top1,480,120,30,30,5,0.025,260,0.5,60,lgbm_deep_volatility,threshold_top1,0.02302318082910637,0.05521877788941465,0.416944773301835,0.005266623165720352,experiment_results\fit480_cal120_test30_step30_h5_cost0.025_tdpy260_pwin0.5_holdout60_livelgbm_deep_volatility_modethreshold_top1\pnl_curves.png,C:\Users\tbill\Documents\ml_engine\experiment_results\fit480_cal120_test30_step30_h5_cost0.025_tdpy260_pwin0.5_holdout60_livelgbm_deep_volatility_modethreshold_top1
