strategy,run_name,fit_days,calibration_days,test_days,step_days,horizon,transaction_loss_pct,trading_days_per_year,p_win_threshold,holdout_days,live_model,live_decision_mode,Annualized Return,Annualized Vol,Sharpe,Cumulative Return,plot_path,output_dir
logreg_volatility Threshold Top-1,fit480_cal120_test30_step30_h5_cost0.025_tdpy260_pwin0.5_holdout60_livelogreg_volatility_modethreshold_top1,480,120,30,30,5,0.025,260,0.5,60,logreg_volatility,threshold_top1,0.03649352553997609,0.07975972196421305,0.45754328928516286,0.008305859155938844,experiment_results\fit480_cal120_test30_step30_h5_cost0.025_tdpy260_pwin0.5_holdout60_livelogreg_volatility_modethreshold_top1\pnl_curves.png,C:\Users\tbill\Documents\ml_engine\experiment_results\fit480_cal120_test30_step30_h5_cost0.025_tdpy260_pwin0.5_holdout60_livelogreg_volatility_modethreshold_top1
logreg_volatility Threshold Top-3,fit480_cal120_test30_step30_h5_cost0.025_tdpy260_pwin0.5_holdout60_livelogreg_volatility_modethreshold_top1,480,120,30,30,5,0.025,260,0.5,60,logreg_volatility,threshold_top1,0.02076893621568443,0.06927075518417715,0.2998225753489184,0.004755008339821121,experiment_results\fit480_cal120_test30_step30_h5_cost0.025_tdpy260_pwin0.5_holdout60_livelogreg_volatility_modethreshold_top1\pnl_curves.png,C:\Users\tbill\Documents\ml_engine\experiment_results\fit480_cal120_test30_step30_h5_cost0.025_tdpy260_pwin0.5_holdout60_livelogreg_volatility_modethreshold_top1
logreg_volatility Top-1,fit480_cal120_test30_step30_h5_cost0.025_tdpy260_pwin0.5_holdout60_livelogreg_volatility_modethreshold_top1,480,120,30,30,5,0.025,260,0.5,60,logreg_volatility,threshold_top1,0.03649352553997609,0.07975972196421305,0.45754328928516286,0.008305859155938844,experiment_results\fit480_cal120_test30_step30_h5_cost0.025_tdpy260_pwin0.5_holdout60_livelogreg_volatility_modethreshold_top1\pnl_curves.png,C:\Users\tbill\Documents\ml_engine\experiment_results\fit480_cal120_test30_step30_h5_cost0.025_tdpy260_pwin0.5_holdout60_livelogreg_volatility_modethreshold_top1
logreg_volatility Top-3,fit480_cal120_test30_step30_h5_cost0.025_tdpy260_pwin0.5_holdout60_livelogreg_volatility_modethreshold_top1,480,120,30,30,5,0.025,260,0.5,60,logreg_volatility,threshold_top1,0.02076893621568443,0.06927075518417715,0.2998225753489184,0.004755008339821121,experiment_results\fit480_cal120_test30_step30_h5_cost0.025_tdpy260_pwin0.5_holdout60_livelogreg_volatility_modethreshold_top1\pnl_curves.png,C:\Users\tbill\Documents\ml_engine\experiment_results\fit480_cal120_test30_step30_h5_cost0.025_tdpy260_pwin0.5_holdout60_livelogreg_volatility_modethreshold_top1
logreg_volatility Top-Decile,fit480_cal120_test30_step30_h5_cost0.025_tdpy260_pwin0.5_holdout60_livelogreg_volatility_modethreshold_top1,480,120,30,30,5,0.025,260,0.5,60,logreg_volatility,threshold_top1,0.02076893621568443,0.06927075518417715,0.2998225753489184,0.004755008339821121,experiment_results\fit480_cal120_test30_step30_h5_cost0.025_tdpy260_pwin0.5_holdout60_livelogreg_volatility_modethreshold_top1\pnl_curves.png,C:\Users\tbill\Documents\ml_engine\experiment_results\fit480_cal120_test30_step30_h5_cost0.025_tdpy260_pwin0.5_holdout60_livelogreg_volatility_modethreshold_top1
rf Threshold,fit480_cal120_test30_step30_h5_cost0.025_tdpy260_pwin0.5_holdout60_liverf_modethreshold_top1,480,120,30,30,5,0.025,260,0.5,60,rf,threshold_top1,0.007008659617081969,0.04370526570091498,0.16036190387318117,0.0016130410427674935,experiment_results\fit480_cal120_test30_step30_h5_cost0.025_tdpy260_pwin0.5_holdout60_liverf_modethreshold_top1\pnl_curves.png,C:\Users\tbill\Documents\ml_engine\experiment_results\fit480_cal120_test30_step30_h5_cost0.025_tdpy260_pwin0.5_holdout60_liverf_modethreshold_top1
rf Threshold Top-1,fit480_cal120_test30_step30_h5_cost0.025_tdpy260_pwin0.5_holdout60_liverf_modethreshold_top1,480,120,30,30,5,0.025,260,0.5,60,rf,threshold_top1,0.012694199784740956,0.044569466952117436,0.2848182994510297,0.002915234254175836,experiment_results\fit480_cal120_test30_step30_h5_cost0.025_tdpy260_pwin0.5_holdout60_liverf_modethreshold_top1\pnl_curves.png,C:\Users\tbill\Documents\ml_engine\experiment_results\fit480_cal120_test30_step30_h5_cost0.025_tdpy260_pwin0.5_holdout60_liverf_modethreshold_top1
rf Threshold Top-3,fit480_cal120_test30_step30_h5_cost0.025_tdpy260_pwin0.5_holdout60_liverf_modethreshold_top1,480,120,30,30,5,0.025,260,0.5,60,rf,threshold_top1,0.03540741517877333,0.047363591111638556,0.7475661018886032,0.00806193620709017,experiment_results\fit480_cal120_test30_step30_h5_cost0.025_tdpy260_pwin0.5_holdout60_liverf_modethreshold_top1\pnl_curves.png,C:\Users\tbill\Documents\ml_engine\experiment_results\fit480_cal120_test30_step30_h5_cost0.025_tdpy260_pwin0.5_holdout60_liverf_modethreshold_top1
rf Top-1,fit480_cal120_test30_step30_h5_cost0.025_tdpy260_pwin0.5_holdout60_liverf_modethreshold_top1,480,120,30,30,5,0.025,260,0.5,60,rf,threshold_top1,-0.013882089574168033,0.06998594172997896,-0.19835540154232922,-0.0032208051780366898,experiment_results\fit480_cal120_test30_step30_h5_cost0.025_tdpy260_pwin0.5_holdout60_liverf_modethreshold_top1\pnl_curves.png,C:\Users\tbill\Documents\ml_engine\experiment_results\fit480_cal120_test30_step30_h5_cost0.025_tdpy260_pwin0.5_holdout60_liverf_modethreshold_top1
rf Top-3,fit480_cal120_test30_step30_h5_cost0.025_tdpy260_pwin0.5_holdout60_liverf_modethreshold_top1,480,120,30,30,5,0.025,260,0.5,60,rf,threshold_top1,-0.032180627170895315,0.05682399958343048,-0.5663210510841793,-0.007519999347819439,experiment_results\fit480_cal120_test30_step30_h5_cost0.025_tdpy260_pwin0.5_holdout60_liverf_modethreshold_top1\pnl_curves.png,C:\Users\tbill\Documents\ml_engine\experiment_results\fit480_cal120_test30_step30_h5_cost0.025_tdpy260_pwin0.5_holdout60_liverf_modethreshold_top1
rf Top-Decile,fit480_cal120_test30_step30_h5_cost0.025_tdpy260_pwin0.5_holdout60_liverf_modethreshold_top1,480,120,30,30,5,0.025,260,0.5,60,rf,threshold_top1,-0.032180627170895315,0.05682399958343048,-0.5663210510841793,-0.007519999347819439,experiment_results\fit480_cal120_test30_step30_h5_cost0.025_tdpy260_pwin0.5_holdout60_liverf_modethreshold_top1\pnl_curves.png,C:\Users\tbill\Documents\ml_engine\experiment_results\fit480_cal120_test30_step30_h5_cost0.025_tdpy260_pwin0.5_holdout60_liverf_modethreshold_top1
rf_corr_regime Threshold,fit480_cal120_test30_step30_h5_cost0.025_tdpy260_pwin0.5_holdout60_liverf_corr_regime_modethreshold_top1,480,120,30,30,5,0.025,260,0.5,60,rf_corr_regime,threshold_top1,0.02528490751426693,0.02845514793419078,0.8885881589069304,0.0057790653209031095,experiment_results\fit480_cal120_test30_step30_h5_cost0.025_tdpy260_pwin0.5_holdout60_liverf_corr_regime_modethreshold_top1\pnl_curves.png,C:\Users\tbill\Documents\ml_engine\experiment_results\fit480_cal120_test30_step30_h5_cost0.025_tdpy260_pwin0.5_holdout60_liverf_corr_regime_modethreshold_top1
rf_corr_regime Threshold Top-1,fit480_cal120_test30_step30_h5_cost0.025_tdpy260_pwin0.5_holdout60_liverf_corr_regime_modethreshold_top1,480,120,30,30,5,0.025,260,0.5,60,rf_corr_regime,threshold_top1,0.1412493604210816,0.05673038435528374,2.489836126201496,0.030959642062466486,experiment_results\fit480_cal120_test30_step30_h5_cost0.025_tdpy260_pwin0.5_holdout60_liverf_corr_regime_modethreshold_top1\pnl_curves.png,C:\Users\tbill\Documents\ml_engine\experiment_results\fit480_cal120_test30_step30_h5_cost0.025_tdpy260_pwin0.5_holdout60_liverf_corr_regime_modethreshold_top1
rf_corr_regime Threshold Top-3,fit480_cal120_test30_step30_h1_cost0.025_tdpy260_pwin0.5_holdout60_liverf_corr_regime_modethreshold_top1,480,120,30,30,1,0.025,260,0.5,60,rf_corr_regime,threshold_top1,0.04716472738511235,0.05299008455474895,0.8900670338878609,0.010692044694725844,experiment_results\fit480_cal120_test30_step30_h1_cost0.025_tdpy260_pwin0.5_holdout60_liverf_corr_regime_modethreshold_top1\pnl_curves.png,C:\Users\tbill\Documents\ml_engine\experiment_results\fit480_cal120_test30_step30_h1_cost0.025_tdpy260_pwin0.5_holdout60_liverf_corr_regime_modethreshold_top1
rf_corr_regime Top-1,fit480_cal120_test30_step30_h1_cost0.025_tdpy260_pwin0.5_holdout60_liverf_corr_regime_modethreshold_top1,480,120,30,30,1,0.025,260,0.5,60,rf_corr_regime,threshold_top1,0.18942686584111557,0.08149411544655773,2.3244238532208876,0.04084397636814763,experiment_results\fit480_cal120_test30_step30_h1_cost0.025_tdpy260_pwin0.5_holdout60_liverf_corr_regime_modethreshold_top1\pnl_curves.png,C:\Users\tbill\Documents\ml_engine\experiment_results\fit480_cal120_test30_step30_h1_cost0.025_tdpy260_pwin0.5_holdout60_liverf_corr_regime_modethreshold_top1
rf_corr_regime Top-3,fit480_cal120_test30_step30_h1_cost0.025_tdpy260_pwin0.5_holdout60_liverf_corr_regime_modethreshold_top1,480,120,30,30,1,0.025,260,0.5,60,rf_corr_regime,threshold_top1,0.07011448741589765,0.05494376795667093,1.2761135616179522,0.015761141626792652,experiment_results\fit480_cal120_test30_step30_h1_cost0.025_tdpy260_pwin0.5_holdout60_liverf_corr_regime_modethreshold_top1\pnl_curves.png,C:\Users\tbill\Documents\ml_engine\experiment_results\fit480_cal120_test30_step30_h1_cost0.025_tdpy260_pwin0.5_holdout60_liverf_corr_regime_modethreshold_top1
rf_corr_regime Top-Decile,fit480_cal120_test30_step30_h1_cost0.025_tdpy260_pwin0.5_holdout60_liverf_corr_regime_modethreshold_top1,480,120,30,30,1,0.025,260,0.5,60,rf_corr_regime,threshold_top1,0.07011448741589765,0.05494376795667093,1.2761135616179522,0.015761141626792652,experiment_results\fit480_cal120_test30_step30_h1_cost0.025_tdpy260_pwin0.5_holdout60_liverf_corr_regime_modethreshold_top1\pnl_curves.png,C:\Users\tbill\Documents\ml_engine\experiment_results\fit480_cal120_test30_step30_h1_cost0.025_tdpy260_pwin0.5_holdout60_liverf_corr_regime_modethreshold_top1
rf_returns_momentum Threshold,fit480_cal120_test30_step30_h5_cost0.025_tdpy260_pwin0.5_holdout60_liverf_returns_momentum_modethreshold_top1,480,120,30,30,5,0.025,260,0.5,60,rf_returns_momentum,threshold_top1,0.056616310561402594,0.04143818672195681,1.3662834945285713,0.01278994108357634,experiment_results\fit480_cal120_test30_step30_h5_cost0.025_tdpy260_pwin0.5_holdout60_liverf_returns_momentum_modethreshold_top1\pnl_curves.png,C:\Users\tbill\Documents\ml_engine\experiment_results\fit480_cal120_test30_step30_h5_cost0.025_tdpy260_pwin0.5_holdout60_liverf_returns_momentum_modethreshold_top1
rf_returns_momentum Threshold Top-1,fit480_cal120_test30_step30_h5_cost0.025_tdpy260_pwin0.5_holdout60_liverf_returns_momentum_modethreshold_top1,480,120,30,30,5,0.025,260,0.5,60,rf_returns_momentum,threshold_top1,-0.016965653915421153,0.08900505635968285,-0.1906144955052934,-0.003940956900110204,experiment_results\fit480_cal120_test30_step30_h5_cost0.025_tdpy260_pwin0.5_holdout60_liverf_returns_momentum_modethreshold_top1\pnl_curves.png,C:\Users\tbill\Documents\ml_engine\experiment_results\fit480_cal120_test30_step30_h5_cost0.025_tdpy260_pwin0.5_holdout60_liverf_returns_momentum_modethreshold_top1
rf_returns_momentum Threshold Top-3,fit480_cal120_test30_step30_h1_cost0.025_tdpy260_pwin0.5_holdout60_liverf_returns_momentum_modethreshold_top1,480,120,30,30,1,0.025,260,0.5,60,rf_returns_momentum,threshold_top1,0.07148569497880497,0.06277670160569135,1.1387297062501938,0.016061353958577884,experiment_results\fit480_cal120_test30_step30_h1_cost0.025_tdpy260_pwin0.5_holdout60_liverf_returns_momentum_modethreshold_top1\pnl_curves.png,C:\Users\tbill\Documents\ml_engine\experiment_results\fit480_cal120_test30_step30_h1_cost0.025_tdpy260_pwin0.5_holdout60_liverf_returns_momentum_modethreshold_top1
rf_returns_momentum Top-1,fit480_cal120_test30_step30_h5_cost0.025_tdpy260_pwin0.5_holdout60_liverf_returns_momentum_modethreshold_top1,480,120,30,30,5,0.025,260,0.5,60,rf_returns_momentum,threshold_top1,-0.016965653915421153,0.08900505635968285,-0.1906144955052934,-0.003940956900110204,experiment_results\fit480_cal120_test30_step30_h5_cost0.025_tdpy260_pwin0.5_holdout60_liverf_returns_momentum_modethreshold_top1\pnl_curves.png,C:\Users\tbill\Documents\ml_engine\experiment_results\fit480_cal120_test30_step30_h5_cost0.025_tdpy260_pwin0.5_holdout60_liverf_returns_momentum_modethreshold_top1
rf_returns_momentum Top-3,fit480_cal120_test30_step30_h1_cost0.025_tdpy260_pwin0.5_holdout60_liverf_returns_momentum_modethreshold_top1,480,120,30,30,1,0.025,260,0.5,60,rf_returns_momentum,threshold_top1,0.07148569497880497,0.06277670160569135,1.1387297062501938,0.016061353958577884,experiment_results\fit480_cal120_test30_step30_h1_cost0.025_tdpy260_pwin0.5_holdout60_liverf_returns_momentum_modethreshold_top1\pnl_curves.png,C:\Users\tbill\Documents\ml_engine\experiment_results\fit480_cal120_test30_step30_h1_cost0.025_tdpy260_pwin0.5_holdout60_liverf_returns_momentum_modethreshold_top1
rf_returns_momentum Top-Decile,fit480_cal120_test30_step30_h1_cost0.025_tdpy260_pwin0.5_holdout60_liverf_returns_momentum_modethreshold_top1,480,120,30,30,1,0.025,260,0.5,60,rf_returns_momentum,threshold_top1,0.07148569497880497,0.06277670160569135,1.1387297062501938,0.016061353958577884,experiment_results\fit480_cal120_test30_step30_h1_cost0.025_tdpy260_pwin0.5_holdout60_liverf_returns_momentum_modethreshold_top1\pnl_curves.png,C:\Users\tbill\Documents\ml_engine\experiment_results\fit480_cal120_test30_step30_h1_cost0.025_tdpy260_pwin0.5_holdout60_liverf_returns_momentum_modethreshold_top1
