run_name,fit_days,calibration_days,test_days,step_days,horizon,transaction_loss_pct,trading_days_per_year,p_win_threshold,holdout_days,live_model,live_decision_mode,strategy,Annualized Return,Annualized Vol,Sharpe,Cumulative Return,plot_path,output_dir
fit480_cal120_test30_step30_h1_cost0.025_tdpy260_pwin0.5_holdout60_liveensemble_modethreshold_top1,480,120,30,30,1,0.025,260,0.5,60,ensemble,threshold_top1,ensemble Threshold,-0.05041829080810101,0.043263125710386804,-1.165387150840938,-0.01186756388707444,experiment_results\fit480_cal120_test30_step30_h1_cost0.025_tdpy260_pwin0.5_holdout60_liveensemble_modethreshold_top1\pnl_curves.png,C:\Users\tbill\Documents\ml_engine\experiment_results\fit480_cal120_test30_step30_h1_cost0.025_tdpy260_pwin0.5_holdout60_liveensemble_modethreshold_top1
fit480_cal120_test30_step30_h1_cost0.025_tdpy260_pwin0.5_holdout60_liveensemble_modethreshold_top1,480,120,30,30,1,0.025,260,0.5,60,ensemble,threshold_top1,ensemble Threshold Top-1,0.14619063745326444,0.07159258414620961,2.0419801742972052,0.03198802827616354,experiment_results\fit480_cal120_test30_step30_h1_cost0.025_tdpy260_pwin0.5_holdout60_liveensemble_modethreshold_top1\pnl_curves.png,C:\Users\tbill\Documents\ml_engine\experiment_results\fit480_cal120_test30_step30_h1_cost0.025_tdpy260_pwin0.5_holdout60_liveensemble_modethreshold_top1
fit480_cal120_test30_step30_h1_cost0.025_tdpy260_pwin0.5_holdout60_liveensemble_modethreshold_top1,480,120,30,30,1,0.025,260,0.5,60,ensemble,threshold_top1,ensemble Threshold Top-3,0.07140775539235289,0.053892639713976356,1.325000144200289,0.016044297781118155,experiment_results\fit480_cal120_test30_step30_h1_cost0.025_tdpy260_pwin0.5_holdout60_liveensemble_modethreshold_top1\pnl_curves.png,C:\Users\tbill\Documents\ml_engine\experiment_results\fit480_cal120_test30_step30_h1_cost0.025_tdpy260_pwin0.5_holdout60_liveensemble_modethreshold_top1
fit480_cal120_test30_step30_h1_cost0.025_tdpy260_pwin0.5_holdout60_liveensemble_modethreshold_top1,480,120,30,30,1,0.025,260,0.5,60,ensemble,threshold_top1,ensemble Top-1,0.14619063745326444,0.07159258414620961,2.0419801742972052,0.03198802827616354,experiment_results\fit480_cal120_test30_step30_h1_cost0.025_tdpy260_pwin0.5_holdout60_liveensemble_modethreshold_top1\pnl_curves.png,C:\Users\tbill\Documents\ml_engine\experiment_results\fit480_cal120_test30_step30_h1_cost0.025_tdpy260_pwin0.5_holdout60_liveensemble_modethreshold_top1
fit480_cal120_test30_step30_h1_cost0.025_tdpy260_pwin0.5_holdout60_liveensemble_modethreshold_top1,480,120,30,30,1,0.025,260,0.5,60,ensemble,threshold_top1,ensemble Top-3,0.020510128768357783,0.05453949141991137,0.3760601398066926,0.004696214779396302,experiment_results\fit480_cal120_test30_step30_h1_cost0.025_tdpy260_pwin0.5_holdout60_liveensemble_modethreshold_top1\pnl_curves.png,C:\Users\tbill\Documents\ml_engine\experiment_results\fit480_cal120_test30_step30_h1_cost0.025_tdpy260_pwin0.5_holdout60_liveensemble_modethreshold_top1
fit480_cal120_test30_step30_h1_cost0.025_tdpy260_pwin0.5_holdout60_liveensemble_modethreshold_top1,480,120,30,30,1,0.025,260,0.5,60,ensemble,threshold_top1,ensemble Top-Decile,0.020510128768357783,0.05453949141991137,0.3760601398066926,0.004696214779396302,experiment_results\fit480_cal120_test30_step30_h1_cost0.025_tdpy260_pwin0.5_holdout60_liveensemble_modethreshold_top1\pnl_curves.png,C:\Users\tbill\Documents\ml_engine\experiment_results\fit480_cal120_test30_step30_h1_cost0.025_tdpy260_pwin0.5_holdout60_liveensemble_modethreshold_top1
fit480_cal120_test30_step30_h1_cost0.025_tdpy260_pwin0.5_holdout60_liveensemble_modethreshold_top1,480,120,30,30,1,0.025,260,0.5,60,ensemble,threshold_top1,Equal-weight,0.013631998685172952,0.03505721458979544,0.3888500225896725,0.003129483302405145,experiment_results\fit480_cal120_test30_step30_h1_cost0.025_tdpy260_pwin0.5_holdout60_liveensemble_modethreshold_top1\pnl_curves.png,C:\Users\tbill\Documents\ml_engine\experiment_results\fit480_cal120_test30_step30_h1_cost0.025_tdpy260_pwin0.5_holdout60_liveensemble_modethreshold_top1
fit480_cal120_test30_step30_h1_cost0.025_tdpy260_pwin0.5_holdout60_liveensemble_modetop1,480,120,30,30,1,0.025,260,0.5,60,ensemble,top1,ensemble Threshold,-0.05041829080810101,0.043263125710386804,-1.165387150840938,-0.01186756388707444,experiment_results\fit480_cal120_test30_step30_h1_cost0.025_tdpy260_pwin0.5_holdout60_liveensemble_modetop1\pnl_curves.png,C:\Users\tbill\Documents\ml_engine\experiment_results\fit480_cal120_test30_step30_h1_cost0.025_tdpy260_pwin0.5_holdout60_liveensemble_modetop1
fit480_cal120_test30_step30_h1_cost0.025_tdpy260_pwin0.5_holdout60_liveensemble_modetop1,480,120,30,30,1,0.025,260,0.5,60,ensemble,top1,ensemble Threshold Top-1,0.14619063745326444,0.07159258414620961,2.0419801742972052,0.03198802827616354,experiment_results\fit480_cal120_test30_step30_h1_cost0.025_tdpy260_pwin0.5_holdout60_liveensemble_modetop1\pnl_curves.png,C:\Users\tbill\Documents\ml_engine\experiment_results\fit480_cal120_test30_step30_h1_cost0.025_tdpy260_pwin0.5_holdout60_liveensemble_modetop1
fit480_cal120_test30_step30_h1_cost0.025_tdpy260_pwin0.5_holdout60_liveensemble_modetop1,480,120,30,30,1,0.025,260,0.5,60,ensemble,top1,ensemble Threshold Top-3,0.07140775539235289,0.053892639713976356,1.325000144200289,0.016044297781118155,experiment_results\fit480_cal120_test30_step30_h1_cost0.025_tdpy260_pwin0.5_holdout60_liveensemble_modetop1\pnl_curves.png,C:\Users\tbill\Documents\ml_engine\experiment_results\fit480_cal120_test30_step30_h1_cost0.025_tdpy260_pwin0.5_holdout60_liveensemble_modetop1
